comp,func,id
bracket,guide liquid,364
unclassified,guide liquid,364
cover,guide liquid,364
cover,guide liquid,364
divider,guide liquid,364
shaft,guide liquid,364
unclassified,guide liquid,364
housing,guide liquid,364
link,guide liquid,364
nut-bolt,guide liquid,364
key,guide liquid,364
punch,guide liquid,364
rotational coupler,guide liquid,364
rotational coupler,guide liquid,364
electric socket,guide liquid,364
support,guide liquid,364
tube,guide liquid,364
valve,guide liquid,364
wheel,guide liquid,364
bearing,guide mechanical,364
belt,guide mechanical,364
cover,guide mechanical,364
cover,guide mechanical,364
divider,guide mechanical,364
shaft,guide mechanical,364
electric motor,guide mechanical,364
electric wire,guide mechanical,364
unclassified,guide mechanical,364
gear,guide mechanical,364
guiders,guide mechanical,364
hinge,guide mechanical,364
link,guide mechanical,364
nut-bolt,guide mechanical,364
punch,guide mechanical,364
rotational coupler,guide mechanical,364
spring,guide mechanical,364
support,guide mechanical,364
electric motor,guide radioactive/nuclear,364
lens,guide radioactive/nuclear,364
cover,guide thermal,364
unclassified,guide thermal,364
tube,guide thermal,364
unclassified,import electrical,364
electric wire,import electrical,364
guiders,import electrical,364
link,import electrical,364
solder,import electrical,364
spring,import electrical,364
airfoil,import gas,364
blade,import gas,364
cover,import gas,364
cover,import gas,364
divider,import gas,364
shaft,import gas,364
electric wire,import gas,364
unclassified,import gas,364
punch,import gas,364
reservoir,import gas,364
rotational coupler,import gas,364
spring,import gas,364
tube,import gas,364
wheel,import gas,364
airfoil,import liquid,364
shaft,import liquid,364
bearing,import liquid,364
blade,import liquid,364
bracket,import liquid,364
unclassified,import liquid,364
cap,import liquid,364
cover,import liquid,364
cover,import liquid,364
shaft,import liquid,364
unclassified,import liquid,364
fastener,import liquid,364
gear,import liquid,364
clamp,import liquid,364
guiders,import liquid,364
hinge,import liquid,364
housing,import liquid,364
transistor,import liquid,364
link,import liquid,364
material filter,import liquid,364
nut-bolt,import liquid,364
key,import liquid,364
punch,import liquid,364
reservoir,import liquid,364
rotational coupler,import liquid,364
rotational coupler,import liquid,364
screw,import liquid,364
electric socket,import liquid,364
spring,import liquid,364
support,import liquid,364
reservoir,import liquid,364
tube,import liquid,364
wheel,import liquid,364
shaft,import mechanical,364
bearing,import mechanical,364
belt,import mechanical,364
blade,import mechanical,364
unclassified,import mechanical,364
cap,import mechanical,364
cover,import mechanical,364
cover,import mechanical,364
divider,import mechanical,364
shaft,import mechanical,364
electric motor,import mechanical,364
electric wire,import mechanical,364
unclassified,import mechanical,364
fastener,import mechanical,364
gear,import mechanical,364
clamp,import mechanical,364
guiders,import mechanical,364
hinge,import mechanical,364
transistor,import mechanical,364
link,import mechanical,364
nut-bolt,import mechanical,364
key,import mechanical,364
punch,import mechanical,364
reservoir,import mechanical,364
rotational coupler,import mechanical,364
rotational coupler,import mechanical,364
screw,import mechanical,364
solder,import mechanical,364
spring,import mechanical,364
sprocket,import mechanical,364
support,import mechanical,364
tube,import mechanical,364
wheel,import mechanical,364
transistor,import radioactive/nuclear,364
shaft,import thermal,364
belt,import thermal,364
