comp,func,id
tube,secure solid,332
bracket,secure solid,332
housing,secure solid,332
hydraulic pump,secure solid,332
bracket,secure solid,332
seal,secure solid,332
container,secure solid,332
container,store solid-liquid,332
system,transfer electrical,332
electric cord,transfer electrical,332
system,transfer human energy,332
system,transfer human material,332
cover,transfer optical,332
system,transfer solid,332
tube,transfer solid-liquid,332
seal,transfer solid-liquid,332
nozzle,transfer solid-liquid,332
hydraulic pump,transfer solid-liquid,332
seal,transfer solid-liquid,332
system,transfer thermal,332
support,actuate control,366
support,actuate liquid,366
heating element,convert electrical,366
knob,convert human energy,366
electric switch,convert human energy,366
reservoir,convert liquid,366
cover,couple solid,366
housing,couple solid,366
insert,couple solid,366
electric conductor,couple solid,366
electric conductor,couple solid,366
heating element,couple solid,366
reservoir,couple solid,366
electric cord,couple solid,366
screw,couple solid,366
screw,couple solid,366
screw,couple solid,366
electric wire,couple solid,366
electric switch,couple solid,366
housing,couple solid,366
electric wire,couple solid,366
electric wire,couple solid,366
nozzle,distribute liquid,366
reservoir,distribute thermal,366
knob,export human material,366
electric switch,export human material,366
nozzle,export liquid,366
reservoir,export mixture,366
cover,guide solid,366
support,guide solid,366
cover,guide solid,366
knob,guide solid,366
shaft,guide solid,366
seal,guide solid,366
seal,guide solid,366
unclassified,guide solid,366
spring,guide solid,366
spring,guide solid,366
electric switch,guide solid,366
electric switch,guide solid,366
housing,guide solid,366
electric cord,import electrical,366
knob,import human material,366
electric switch,import human material,366
tube,import liquid,366
reservoir,import mixture,366
system,mix gas,366
reservoir,mix gas,366
system,mix solid,366
reservoir,mix solid,366
housing,position solid,366
support,position solid,366
seal,position solid,366
seal,position solid,366
reservoir,position solid,366
knob,position solid,366
seal,position solid,366
shaft,position solid,366
electric cord,position solid,366
seal,position solid,366
seal,position solid,366
unclassified,position solid,366
spring,position solid,366
spring,position solid,366
guiders,position solid,366
housing,position solid,366
stop,position solid,366
shaft,regulate control,366
electric switch,regulate control,366
electric switch,regulate electrical,366
shaft,regulate liquid,366
housing,secure solid,366
support,secure solid,366
cover,secure solid,366
seal,secure solid,366
seal,secure solid,366
heating element,secure solid,366
tube,secure solid,366
reservoir,secure solid,366
tube,secure solid,366
nozzle,secure solid,366
electric switch,secure solid,366
housing,secure solid,366
electric switch,sense thermal,366
electric switch,sense thermal,366
seal,stop liquid,366
seal,stop liquid,366
seal,stop liquid,366
seal,stop liquid,366
seal,stop liquid,366
stop,stop liquid,366
assembly,store liquid,366
support,store liquid,366
assembly,supply liquid,366
support,supply liquid,366
unclassified,transfer control,366
heating element,transfer electrical,366
electric cord,transfer electrical,366
electric wire,transfer electrical,366
electric wire,transfer electrical,366
tube,transfer liquid,366
tube,transfer liquid,366
transistor,actuate electrical,370
circuit board,actuate electrical,370
circuit board,actuate radioactive/nuclear,370
electric motor,convert electrical,370
rotational coupler,convert electrical,370
heating element,convert electrical,370
transistor,convert radioactive/nuclear,370
circuit board,convert radioactive/nuclear,370
transistor,convert status,370
circuit board,convert status,370
electric switch,convert status,370
airfoil,couple solid,370
shaft,couple solid,370
bearing,couple solid,370
blade,couple solid,370
bracket,couple solid,370
unclassified,couple solid,370
cap,couple solid,370
cover,couple solid,370
cover,couple solid,370
divider,couple solid,370
shaft,couple solid,370
electric motor,couple solid,370
electric wire,couple solid,370
unclassified,couple solid,370
fastener,couple solid,370
gear,couple solid,370
clamp,couple solid,370
guiders,couple solid,370
hinge,couple solid,370
transistor,couple solid,370
link,couple solid,370
nut-bolt,couple solid,370
key,couple solid,370
punch,couple solid,370
reservoir,couple solid,370
rotational coupler,couple solid,370
rotational coupler,couple solid,370
screw,couple solid,370
seal,couple solid,370
electric socket,couple solid,370
solder,couple solid,370
spring,couple solid,370
sprocket,couple solid,370
support,couple solid,370
reservoir,couple solid,370
tube,couple solid,370
valve,couple solid,370
wheel,couple solid,370
electric wire,export control,370
guiders,export control,370
solder,export control,370
unclassified,export electrical,370
electric wire,export electrical,370
link,export electrical,370
spring,export electrical,370
lens,export radioactive/nuclear,370
airfoil,export solid,370
shaft,export solid,370
bearing,export solid,370
belt,export solid,370
blade,export solid,370
bracket,export solid,370
unclassified,export solid,370
cap,export solid,370
transistor,export solid,370
cover,export solid,370
cover,export solid,370
divider,export solid,370
shaft,export solid,370
electric motor,export solid,370
electric wire,export solid,370
unclassified,export solid,370
fastener,export solid,370
gear,export solid,370
clamp,export solid,370
guiders,export solid,370
hinge,export solid,370
transistor,export solid,370
link,export solid,370
material filter,export solid,370
nut-bolt,export solid,370
key,export solid,370
punch,export solid,370
reservoir,export solid,370
rotational coupler,export solid,370
rotational coupler,export solid,370
screw,export solid,370
seal,export solid,370
electric socket,export solid,370
spring,export solid,370
sprocket,export solid,370
support,export solid,370
reservoir,export solid,370
tube,export solid,370
valve,export solid,370
wheel,export solid,370
shaft,export thermal,370
belt,export thermal,370
unclassified,export thermal,370
cover,export thermal,370
cover,export thermal,370
divider,export thermal,370
shaft,export thermal,370
electric wire,export thermal,370
unclassified,export thermal,370
housing,export thermal,370
material filter,export thermal,370
nut-bolt,export thermal,370
key,export thermal,370
punch,export thermal,370
reservoir,export thermal,370
rotational coupler,export thermal,370
electric socket,export thermal,370
spring,export thermal,370
support,export thermal,370
tube,export thermal,370
